SEASON,TEAM,G,WIN,LOSS,WIN%,PTS,OPP PTS,NET PTS,OFF RTG,DEF RTG,NET RTG,PACE
2021-22,Lehigh,29,18,11,62.10%,68.6,61,7.6,96,85.7,10.3,71.3
2021-22,Long Beach St.,27,18,9,66.70%,61.3,57.1,4.1,89.1,83.6,5.5,67.6
2021-22,Nevada,31,18,13,58.10%,65.9,63.8,2.1,95,92.4,2.6,67.8
2021-22,Davidson,33,18,15,54.50%,63.5,61.7,1.9,94.9,92.1,2.8,66.7
2021-22,UCLA,31,18,13,58.10%,66.6,61.5,5.1,96.4,89.9,6.6,67.9
2021-22,Saint Mary's (CA),33,18,15,54.50%,69.7,72.1,-2.4,94.8,98,-3.2,72.5
2021-22,Portland,29,18,11,62.10%,69.8,62.9,6.8,96.2,87.3,8.9,72
2021-22,Oregon St.,31,17,14,54.80%,64.5,62.6,1.9,93,90.8,2.1,68.6
2021-22,Purdue,32,17,15,53.10%,69.2,67.3,1.8,96.2,93.2,2.9,71.8
2021-22,Northern Ariz.,31,17,14,54.80%,72.8,71,1.8,98.5,95.9,2.6,73.7
2021-22,Northwestern,29,17,12,58.60%,66.9,63.9,3,93.7,89.6,4.1,70.4
2021-22,Loyola Chicago,29,17,12,58.60%,58.5,55.5,3,87.3,82.4,4.9,67.2
2021-22,Idaho St.,29,17,12,58.60%,65.2,64.3,0.9,93.6,92.4,1.1,69.1
2021-22,Kent St.,29,17,12,58.60%,66.5,63.2,3.2,96.9,92.1,4.8,68.6
2021-22,Air Force,31,17,14,54.80%,61.4,59,2.4,89.6,85.8,3.8,68.1
2021-22,Boston U.,31,17,14,54.80%,62.5,59.6,2.8,91.7,87.8,3.9,68
2021-22,San Diego,32,17,15,53.10%,67.3,65.7,1.7,91,88.7,2.3,73.3
2021-22,San Francisco,33,17,16,51.50%,67.9,67.8,0.1,94,93.8,0.2,71.7
2021-22,Duke,30,17,13,56.70%,65,62.2,2.9,92.8,89.2,3.6,69.9
2021-22,Elon,29,17,12,58.60%,62.3,62.3,0.1,90.5,90.5,0,68.5
2021-22,Florida St.,31,17,14,54.80%,65.3,61.6,3.6,93.6,88.7,4.9,69
2021-22,Wagner,29,17,12,58.60%,60.6,58.2,2.4,87.4,83.6,3.8,69.5
2021-22,Western Ky.,29,17,12,58.60%,69.7,69.7,0,94,94.4,-0.4,72.4
2021-22,VCU,28,16,12,57.10%,60.7,58.2,2.5,92,88.5,3.5,65.6
2021-22,Vanderbilt,35,16,19,45.70%,63,61.4,1.6,90.8,88.2,2.6,69.2
2021-22,Southern Miss.,28,16,12,57.10%,66.2,65.3,0.9,93.5,91.9,1.6,70.3
2021-22,Southern Utah,28,16,12,57.10%,68.1,66.9,1.2,95.3,93.3,2.1,70.6
2021-22,St. Francis Brooklyn,26,16,10,61.50%,63.9,62.8,1.1,91.3,89.7,1.6,69.7
2021-22,Tulsa,27,16,11,59.30%,68.9,65.2,3.6,98.9,93.1,5.8,68.5
2021-22,Memphis,28,16,12,57.10%,62.3,61.3,1,91.2,89.7,1.5,68.1
2021-22,Richmond,30,16,14,53.30%,70.5,67.1,3.4,98.9,93.6,5.3,71.2
2021-22,Morgan St.,24,16,8,66.70%,61.9,60,1.8,87.9,85.4,2.5,70
2021-22,Norfolk St.,28,16,12,57.10%,59.9,55.9,4.1,84.8,78.2,6.6,71.1
2021-22,North Texas,29,16,13,55.20%,65.4,61.8,3.6,93.5,88.1,5.5,69.8
2021-22,La Salle,28,16,12,57.10%,65.4,63.5,1.8,93.3,91.1,2.1,69.6
2021-22,Gardner-Webb,31,16,15,51.60%,70.3,69.5,0.8,93.4,92.7,0.7,75.2
2021-22,Col. of Charleston,29,16,13,55.20%,72.7,68,4.6,96.5,90.6,5.8,74.6
2021-22,Wake Forest,33,16,17,48.50%,65,63,1.9,91.8,89.7,2,70.2
2021-22,Yale,27,16,11,59.30%,58.5,56.8,1.7,84,81.6,2.5,69
2021-22,A&M-Corpus Christi,26,16,10,61.50%,61.2,59.3,1.8,86.6,84.5,2,70.1
2021-22,Akron,28,16,12,57.10%,66.1,67.3,-1.3,94,95.5,-1.5,70.4
2021-22,Bowling Green,32,16,16,50.00%,72,69.6,2.4,98.7,95.3,3.4,72.7
